"State","Year","Race","Births","Female.Population"
"Florida",2015,"Asian or Pacific Islander","100",19307
"Florida",2015,"Black or African American","4114",132970
"Florida",2015,"White","7833",419648
"Georgia",2007,"American Indian or Alaska Native","42",1698
"Georgia",2007,"Asian or Pacific Islander","163",10137
"Georgia",2007,"Black or African American","8577",131737
"Georgia",2007,"White","9597",195200
"Georgia",2008,"American Indian or Alaska Native","27",1821
"Georgia",2008,"Asian or Pacific Islander","158",10697
"Georgia",2008,"Black or African American","8662",135198
"Georgia",2008,"White","8684",197588
"Georgia",2009,"American Indian or Alaska Native","44",1961
"Georgia",2009,"Asian or Pacific Islander","171",11338
"Georgia",2009,"Black or African American","8212",136066
"Georgia",2009,"White","8132",198295
"Georgia",2010,"American Indian or Alaska Native","31",2014
"Georgia",2010,"Asian or Pacific Islander","157",11688
"Georgia",2010,"Black or African American","7214",135294
"Georgia",2010,"White","7160",198069
"Georgia",2011,"American Indian or Alaska Native","37",2021
"Georgia",2011,"Asian or Pacific Islander","138",11793
"Georgia",2011,"Black or African American","6566",131905
"Georgia",2011,"White","6429",194689
"Georgia",2012,"American Indian or Alaska Native","21",2127
"Georgia",2012,"Asian or Pacific Islander","119",12276
"Georgia",2012,"Black or African American","5715",130766
"Georgia",2012,"White","5813",195039
"Georgia",2013,"American Indian or Alaska Native","30",2034
"Georgia",2013,"Asian or Pacific Islander","119",12810
"Georgia",2013,"Black or African American","5006",128516
"Georgia",2013,"White","5310",195118
"Georgia",2014,"American Indian or Alaska Native","33",2044
"Georgia",2014,"Asian or Pacific Islander","118",13823
"Georgia",2014,"Black or African American","4454",127830
"Georgia",2014,"White","5157",196339
"Georgia",2015,"American Indian or Alaska Native","26",2102
"Georgia",2015,"Asian or Pacific Islander","117",14667
"Georgia",2015,"Black or African American","4033",129683
"Georgia",2015,"White","4757",199037
"Hawaii",2007,"American Indian or Alaska Native","Suppressed",175
"Hawaii",2007,"Asian or Pacific Islander","1207",30380
"Hawaii",2007,"Black or African American","38",1089
"Hawaii",2007,"White","374",9957
"Hawaii",2008,"American Indian or Alaska Native","Suppressed",172
"Hawaii",2008,"Asian or Pacific Islander","1194",30361
"Hawaii",2008,"Black or African American","50",1144
"Hawaii",2008,"White","391",10047
"Hawaii",2009,"American Indian or Alaska Native","Suppressed",175
"Hawaii",2009,"Asian or Pacific Islander","1129",30492
"Hawaii",2009,"Black or African American","38",1165
"Hawaii",2009,"White","389",9923
"Hawaii",2010,"American Indian or Alaska Native","Suppressed",157
"Hawaii",2010,"Asian or Pacific Islander","973",30186
"Hawaii",2010,"Black or African American","35",1175
"Hawaii",2010,"White","346",9886
"Hawaii",2011,"American Indian or Alaska Native","Suppressed",202
"Hawaii",2011,"Asian or Pacific Islander","889",28601
"Hawaii",2011,"Black or African American","37",1364
"Hawaii",2011,"White","280",9847
"Hawaii",2012,"American Indian or Alaska Native","Suppressed",188
"Hawaii",2012,"Asian or Pacific Islander","823",28150
"Hawaii",2012,"Black or African American","36",1346
"Hawaii",2012,"White","256",9697
"Hawaii",2013,"American Indian or Alaska Native","Suppressed",189
"Hawaii",2013,"Asian or Pacific Islander","743",27729
"Hawaii",2013,"Black or African American","27",1352
"Hawaii",2013,"White","218",9604
"Hawaii",2014,"American Indian or Alaska Native","Suppressed",188
"Hawaii",2014,"Asian or Pacific Islander","631",27404
"Hawaii",2014,"Black or African American","30",1409
"Hawaii",2014,"White","236",9722
"Hawaii",2015,"American Indian or Alaska Native","Suppressed",186
"Hawaii",2015,"Asian or Pacific Islander","575",27237
"Hawaii",2015,"Black or African American","19",1364
"Hawaii",2015,"White","202",9575
"Idaho",2007,"American Indian or Alaska Native","82",1207
"Idaho",2007,"Asian or Pacific Islander","17",885
"Idaho",2007,"Black or African American","23",615
"Idaho",2007,"White","2152",53914
"Idaho",2008,"American Indian or Alaska Native","105",1270
"Idaho",2008,"Asian or Pacific Islander","20",939
"Idaho",2008,"Black or African American","41",680
"Idaho",2008,"White","2113",54143
"Idaho",2009,"American Indian or Alaska Native","67",1331
"Idaho",2009,"Asian or Pacific Islander","20",968
"Idaho",2009,"Black or African American","25",750
"Idaho",2009,"White","1941",53774
"Idaho",2010,"American Indian or Alaska Native","82",1360
"Idaho",2010,"Asian or Pacific Islander","17",1017
"Idaho",2010,"Black or African American","29",799
"Idaho",2010,"White","1748",53247
"Idaho",2011,"American Indian or Alaska Native","68",1357
"Idaho",2011,"Asian or Pacific Islander","15",1036
"Idaho",2011,"Black or African American","41",960
"Idaho",2011,"White","1475",53763
"Idaho",2012,"American Indian or Alaska Native","77",1327
"Idaho",2012,"Asian or Pacific Islander","12",1044
"Idaho",2012,"Black or African American","26",947
"Idaho",2012,"White","1463",52134
"Idaho",2013,"American Indian or Alaska Native","55",1326
"Idaho",2013,"Asian or Pacific Islander","17",1090
"Idaho",2013,"Black or African American","23",1060
"Idaho",2013,"White","1341",51929
"Idaho",2014,"American Indian or Alaska Native","54",1294
"Idaho",2014,"Asian or Pacific Islander","14",1193
"Idaho",2014,"Black or African American","15",1059
"Idaho",2014,"White","1227",52529
"Idaho",2015,"American Indian or Alaska Native","45",1274
"Idaho",2015,"Asian or Pacific Islander","21",1154
"Idaho",2015,"Black or African American","21",1012
"Idaho",2015,"White","1212",53732
"Illinois",2007,"American Indian or Alaska Native","39",3182
"Illinois",2007,"Asian or Pacific Islander","112",18035
"Illinois",2007,"Black or African American","6885",89832
"Illinois",2007,"White","11313",339306
"Illinois",2008,"American Indian or Alaska Native","39",3397
"Illinois",2008,"Asian or Pacific Islander","100",18517
"Illinois",2008,"Black or African American","6580",91411
"Illinois",2008,"White","10945",338649
"Illinois",2009,"American Indian or Alaska Native","25",3605
"Illinois",2009,"Asian or Pacific Islander","107",18900
"Illinois",2009,"Black or African American","6072",92212
"Illinois",2009,"White","10179",336965
"Illinois",2010,"American Indian or Alaska Native","18",3723
"Illinois",2010,"Asian or Pacific Islander","97",19136
"Illinois",2010,"Black or African American","5601",91321
"Illinois",2010,"White","9272",334176
"Illinois",2011,"American Indian or Alaska Native","21",3784
"Illinois",2011,"Asian or Pacific Islander","82",19393
"Illinois",2011,"Black or African American","4894",87736
"Illinois",2011,"White","8165",331205
"Illinois",2012,"American Indian or Alaska Native","29",3754
"Illinois",2012,"Asian or Pacific Islander","88",19751
"Illinois",2012,"Black or African American","4499",84679
"Illinois",2012,"White","7633",325871
"Illinois",2013,"American Indian or Alaska Native","23",3825
"Illinois",2013,"Asian or Pacific Islander","84",20369
"Illinois",2013,"Black or African American","3882",81723
"Illinois",2013,"White","6660",321309
"Illinois",2014,"American Indian or Alaska Native","19",3866
"Illinois",2014,"Asian or Pacific Islander","68",21363
"Illinois",2014,"Black or African American","3431",78461
"Illinois",2014,"White","6166",316714
"Illinois",2015,"American Indian or Alaska Native","16",3937
"Illinois",2015,"Asian or Pacific Islander","79",22128
"Illinois",2015,"Black or African American","3082",76505
"Illinois",2015,"White","5671",313587
"Indiana",2007,"American Indian or Alaska Native","16",1043
"Indiana",2007,"Asian or Pacific Islander","42",3589
"Indiana",2007,"Black or African American","2042",27529
"Indiana",2007,"White","7957",199111
"Indiana",2008,"American Indian or Alaska Native","18",1154
"Indiana",2008,"Asian or Pacific Islander","43",3788
"Indiana",2008,"Black or African American","2002",28364
"Indiana",2008,"White","7658",199891
"Indiana",2009,"American Indian or Alaska Native","21",1192
"Indiana",2009,"Asian or Pacific Islander","49",4011
"Indiana",2009,"Black or African American","1952",28981
"Indiana",2009,"White","7600",199153
"Indiana",2010,"American Indian or Alaska Native","19",1220
"Indiana",2010,"Asian or Pacific Islander","46",4202
"Indiana",2010,"Black or African American","1737",28941
"Indiana",2010,"White","6954",197662
"Indiana",2011,"American Indian or Alaska Native","19",1232
"Indiana",2011,"Asian or Pacific Islander","42",4338
"Indiana",2011,"Black or African American","1617",28433
"Indiana",2011,"White","6332",193618
"Indiana",2012,"American Indian or Alaska Native","19",1225
"Indiana",2012,"Asian or Pacific Islander","51",4641
"Indiana",2012,"Black or African American","1504",27983
"Indiana",2012,"White","5857",189279
"Indiana",2013,"American Indian or Alaska Native","17",1264
"Indiana",2013,"Asian or Pacific Islander","70",5028
"Indiana",2013,"Black or African American","1347",28180
"Indiana",2013,"White","5380",188175
"Indiana",2014,"American Indian or Alaska Native","13",1277
"Indiana",2014,"Asian or Pacific Islander","68",5563
"Indiana",2014,"Black or African American","1191",28209
"Indiana",2014,"White","5011",187232
"Indiana",2015,"American Indian or Alaska Native","Suppressed",1322
"Indiana",2015,"Asian or Pacific Islander","63",6122
"Indiana",2015,"Black or African American","1161",28296
"Indiana",2015,"White","4644",187535
"Iowa",2007,"American Indian or Alaska Native","61",706
"Iowa",2007,"Asian or Pacific Islander","29",2225
"Iowa",2007,"Black or African American","393",4601
"Iowa",2007,"White","3087",100192
"Iowa",2008,"American Indian or Alaska Native","51",716
"Iowa",2008,"Asian or Pacific Islander","37",2293
"Iowa",2008,"Black or African American","387",4807
"Iowa",2008,"White","3154",99790
"Iowa",2009,"American Indian or Alaska Native","48",729
"Iowa",2009,"Asian or Pacific Islander","36",2389
"Iowa",2009,"Black or African American","398",5121
"Iowa",2009,"White","2969",98482
"Iowa",2010,"American Indian or Alaska Native","51",754
"Iowa",2010,"Asian or Pacific Islander","47",2442
"Iowa",2010,"Black or African American","352",5193
"Iowa",2010,"White","2599",97209
"Iowa",2011,"American Indian or Alaska Native","35",776
"Iowa",2011,"Asian or Pacific Islander","45",2503
"Iowa",2011,"Black or African American","327",5400
"Iowa",2011,"White","2279",96554
"Iowa",2012,"American Indian or Alaska Native","33",759
"Iowa",2012,"Asian or Pacific Islander","41",2639
"Iowa",2012,"Black or African American","296",5469
"Iowa",2012,"White","2162",94832
"Iowa",2013,"American Indian or Alaska Native","36",790
"Iowa",2013,"Asian or Pacific Islander","36",2728
"Iowa",2013,"Black or African American","299",5713
"Iowa",2013,"White","1930",94227
"Iowa",2014,"American Indian or Alaska Native","28",793
"Iowa",2014,"Asian or Pacific Islander","33",2997
"Iowa",2014,"Black or African American","253",5910
"Iowa",2014,"White","1755",93855
"Iowa",2015,"American Indian or Alaska Native","27",796
"Iowa",2015,"Asian or Pacific Islander","40",3206
"Iowa",2015,"Black or African American","270",6046
"Iowa",2015,"White","1618",94263
"Kansas",2007,"American Indian or Alaska Native","59",1792
"Kansas",2007,"Asian or Pacific Islander","56",2556
"Kansas",2007,"Black or African American","610",8323
"Kansas",2007,"White","3594",87892
"Kansas",2008,"American Indian or Alaska Native","69",1869
"Kansas",2008,"Asian or Pacific Islander","69",2688
"Kansas",2008,"Black or African American","634",8447
"Kansas",2008,"White","3671",86819
"Kansas",2009,"American Indian or Alaska Native","59",1828
"Kansas",2009,"Asian or Pacific Islander","61",2760
"Kansas",2009,"Black or African American","609",8603
"Kansas",2009,"White","3540",85938
"Kansas",2010,"American Indian or Alaska Native","52",1883
"Kansas",2010,"Asian or Pacific Islander","56",2800
"Kansas",2010,"Black or African American","550",8603
"Kansas",2010,"White","3243",85173
"Kansas",2011,"American Indian or Alaska Native","55",1925
"Kansas",2011,"Asian or Pacific Islander","60",2761
"Kansas",2011,"Black or African American","487",8657
"Kansas",2011,"White","2943",85359
"Kansas",2012,"American Indian or Alaska Native","45",1929
"Kansas",2012,"Asian or Pacific Islander","44",2797
"Kansas",2012,"Black or African American","432",8743
"Kansas",2012,"White","2813",83510
"Kansas",2013,"American Indian or Alaska Native","31",1936
"Kansas",2013,"Asian or Pacific Islander","48",2930
"Kansas",2013,"Black or African American","384",8601
"Kansas",2013,"White","2436",83549
"Kansas",2014,"American Indian or Alaska Native","41",1927
"Kansas",2014,"Asian or Pacific Islander","45",3094
"Kansas",2014,"Black or African American","348",8577
"Kansas",2014,"White","2264",83318
"Kansas",2015,"American Indian or Alaska Native","35",1965
"Kansas",2015,"Asian or Pacific Islander","42",3396
"Kansas",2015,"Black or African American","312",8501
"Kansas",2015,"White","2104",83408
"Kentucky",2007,"American Indian or Alaska Native","13",420
"Kentucky",2007,"Asian or Pacific Islander","43",1565
"Kentucky",2007,"Black or African American","1067",15246
"Kentucky",2007,"White","6517",126328
"Kentucky",2008,"American Indian or Alaska Native","14",470
"Kentucky",2008,"Asian or Pacific Islander","41",1655
"Kentucky",2008,"Black or African American","1100",15700
"Kentucky",2008,"White","6573",127495
"Kentucky",2009,"American Indian or Alaska Native","16",478
"Kentucky",2009,"Asian or Pacific Islander","35",1704
"Kentucky",2009,"Black or African American","1028",15663
"Kentucky",2009,"White","6209",127132
"Kentucky",2010,"American Indian or Alaska Native","15",477
"Kentucky",2010,"Asian or Pacific Islander","39",1804
"Kentucky",2010,"Black or African American","912",15781
"Kentucky",2010,"White","5787",126626
"Kentucky",2011,"American Indian or Alaska Native","Suppressed",467
"Kentucky",2011,"Asian or Pacific Islander","35",1847
"Kentucky",2011,"Black or African American","839",15811
"Kentucky",2011,"White","5286",122372
"Kentucky",2012,"American Indian or Alaska Native","Suppressed",434
"Kentucky",2012,"Asian or Pacific Islander","31",1926
"Kentucky",2012,"Black or African American","764",15418
"Kentucky",2012,"White","4942",119252
"Kentucky",2013,"American Indian or Alaska Native","Suppressed",445
"Kentucky",2013,"Asian or Pacific Islander","30",2113
"Kentucky",2013,"Black or African American","702",15549
"Kentucky",2013,"White","4715",118888
"Kentucky",2014,"American Indian or Alaska Native","Suppressed",466
"Kentucky",2014,"Asian or Pacific Islander","32",2321
"Kentucky",2014,"Black or African American","623",15617
"Kentucky",2014,"White","4261",119862
"Kentucky",2015,"American Indian or Alaska Native","20",472
"Kentucky",2015,"Asian or Pacific Islander","19",2379
"Kentucky",2015,"Black or African American","581",15626
"Kentucky",2015,"White","3933",120492
"Louisiana",2007,"American Indian or Alaska Native","69",1551
"Louisiana",2007,"Asian or Pacific Islander","57",2362
"Louisiana",2007,"Black or African American","5067",65386
"Louisiana",2007,"White","3952",93281
"Louisiana",2008,"American Indian or Alaska Native","80",1554
"Louisiana",2008,"Asian or Pacific Islander","43",2413
"Louisiana",2008,"Black or African American","4948",66216
"Louisiana",2008,"White","3885",93174
"Louisiana",2009,"American Indian or Alaska Native","58",1553
"Louisiana",2009,"Asian or Pacific Islander","37",2490
"Louisiana",2009,"Black or African American","4587",66262
"Louisiana",2009,"White","3850",92354
"Louisiana",2010,"American Indian or Alaska Native","76",1559
"Louisiana",2010,"Asian or Pacific Islander","38",2525
"Louisiana",2010,"Black or African American","4244",65485
"Louisiana",2010,"White","3452",91463
"Louisiana",2011,"American Indian or Alaska Native","49",1509
"Louisiana",2011,"Asian or Pacific Islander","33",2620
"Louisiana",2011,"Black or African American","3914",63192
"Louisiana",2011,"White","3087",87178
"Louisiana",2012,"American Indian or Alaska Native","39",1542
"Louisiana",2012,"Asian or Pacific Islander","45",2607
"Louisiana",2012,"Black or African American","3578",61113
"Louisiana",2012,"White","2906",84697
"Louisiana",2013,"American Indian or Alaska Native","59",1488
"Louisiana",2013,"Asian or Pacific Islander","31",2657
"Louisiana",2013,"Black or African American","3084",59599
"Louisiana",2013,"White","2727",84371
"Louisiana",2014,"American Indian or Alaska Native","40",1477
"Louisiana",2014,"Asian or Pacific Islander","41",2729
"Louisiana",2014,"Black or African American","2716",58486
"Louisiana",2014,"White","2571",84426
"Louisiana",2015,"American Indian or Alaska Native","39",1461
"Louisiana",2015,"Asian or Pacific Islander","30",2863
"Louisiana",2015,"Black or African American","2639",58719
"Louisiana",2015,"White","2432",85091
"Maine",2007,"American Indian or Alaska Native","24",465
"Maine",2007,"Asian or Pacific Islander","12",709
"Maine",2007,"Black or African American","38",880
"Maine",2007,"White","1106",42944
"Maine",2008,"American Indian or Alaska Native","20",453
"Maine",2008,"Asian or Pacific Islander","10",771
"Maine",2008,"Black or African American","32",972
"Maine",2008,"White","1061",42488
"Maine",2009,"American Indian or Alaska Native","15",471
"Maine",2009,"Asian or Pacific Islander","10",782
"Maine",2009,"Black or African American","20",997
"Maine",2009,"White","1010",41425
"Maine",2010,"American Indian or Alaska Native","19",461
"Maine",2010,"Asian or Pacific Islander","Suppressed",808
"Maine",2010,"Black or African American","21",1045
"Maine",2010,"White","874",40455
"Maine",2011,"American Indian or Alaska Native","14",466
"Maine",2011,"Asian or Pacific Islander","Suppressed",865
"Maine",2011,"Black or African American","31",1133
"Maine",2011,"White","817",39201
"Maine",2012,"American Indian or Alaska Native","23",452
"Maine",2012,"Asian or Pacific Islander","Suppressed",906
"Maine",2012,"Black or African American","31",1153
"Maine",2012,"White","742",38663
"Maine",2013,"American Indian or Alaska Native","20",447
"Maine",2013,"Asian or Pacific Islander","Suppressed",914
"Maine",2013,"Black or African American","27",1148
"Maine",2013,"White","650",37654
"Maine",2014,"American Indian or Alaska Native","13",422
"Maine",2014,"Asian or Pacific Islander","Suppressed",951
"Maine",2014,"Black or African American","36",1212
"Maine",2014,"White","607",37126
"Maine",2015,"American Indian or Alaska Native","12",405
"Maine",2015,"Asian or Pacific Islander","Suppressed",1024
"Maine",2015,"Black or African American","30",1161
"Maine",2015,"White","558",36643
"Maryland",2007,"American Indian or Alaska Native","20",1169
"Maryland",2007,"Asian or Pacific Islander","64",10208
"Maryland",2007,"Black or African American","3716",72563
"Maryland",2007,"White","3184",117108
"Maryland",2008,"American Indian or Alaska Native","11",1213
"Maryland",2008,"Asian or Pacific Islander","66",10491
"Maryland",2008,"Black or African American","3637",73274
"Maryland",2008,"White","2944",116230
"Maryland",2009,"American Indian or Alaska Native","16",1284
"Maryland",2009,"Asian or Pacific Islander","56",10759
"Maryland",2009,"Black or African American","3389",73221
"Maryland",2009,"White","2762",114588
"Maryland",2010,"American Indian or Alaska Native","17",1349
"Maryland",2010,"Asian or Pacific Islander","47",10976
"Maryland",2010,"Black or African American","3025",72682
"Maryland",2010,"White","2387",112985
"Maryland",2011,"American Indian or Alaska Native","20",1304
"Maryland",2011,"Asian or Pacific Islander","70",11129
"Maryland",2011,"Black or African American","2627",70163
"Maryland",2011,"White","2157",111294
"Maryland",2012,"American Indian or Alaska Native","20",1297
"Maryland",2012,"Asian or Pacific Islander","71",11544
"Maryland",2012,"Black or African American","2359",68980
"Maryland",2012,"White","1899",111943
"Maryland",2013,"American Indian or Alaska Native","16",1317
"Maryland",2013,"Asian or Pacific Islander","46",12061
"Maryland",2013,"Black or African American","2027",67436
"Maryland",2013,"White","1652",109678
"Maryland",2014,"American Indian or Alaska Native","22",1309
"Maryland",2014,"Asian or Pacific Islander","51",12619
"Maryland",2014,"Black or African American","1762",66541
"Maryland",2014,"White","1595",108982
"Maryland",2015,"American Indian or Alaska Native","12",1325
"Maryland",2015,"Asian or Pacific Islander","62",12974
"Maryland",2015,"Black or African American","1594",66758
"Maryland",2015,"White","1579",108157
"Massachusetts",2007,"American Indian or Alaska Native","10",1426
"Massachusetts",2007,"Asian or Pacific Islander","188",13478
"Massachusetts",2007,"Black or African American","997",24220
"Massachusetts",2007,"White","3803",192092
"Massachusetts",2008,"American Indian or Alaska Native","14",1497
"Massachusetts",2008,"Asian or Pacific Islander","155",13789
"Massachusetts",2008,"Black or African American","951",24776
"Massachusetts",2008,"White","3506",191078
"Massachusetts",2009,"American Indian or Alaska Native","16",1571
"Massachusetts",2009,"Asian or Pacific Islander","142",14281
"Massachusetts",2009,"Black or African American","950",25108
"Massachusetts",2009,"White","3425",188848
"Massachusetts",2010,"American Indian or Alaska Native","11",1582
"Massachusetts",2010,"Asian or Pacific Islander","122",14608
"Massachusetts",2010,"Black or African American","813",25175
"Massachusetts",2010,"White","3003",186511
"Massachusetts",2011,"American Indian or Alaska Native","Suppressed",1496
"Massachusetts",2011,"Asian or Pacific Islander","119",14867
"Massachusetts",2011,"Black or African American","701",24486
"Massachusetts",2011,"White","2682",185689
"Massachusetts",2012,"American Indian or Alaska Native","13",1505
"Massachusetts",2012,"Asian or Pacific Islander","86",15438
"Massachusetts",2012,"Black or African American","708",24489
"Massachusetts",2012,"White","2447",187679
"Massachusetts",2013,"American Indian or Alaska Native","14",1514
"Massachusetts",2013,"Asian or Pacific Islander","79",15459
"Massachusetts",2013,"Black or African American","574",24441
"Massachusetts",2013,"White","2100",185313
"Massachusetts",2014,"American Indian or Alaska Native","Suppressed",1511
"Massachusetts",2014,"Asian or Pacific Islander","60",16657
"Massachusetts",2014,"Black or African American","508",25052
"Massachusetts",2014,"White","1847",184048
"Massachusetts",2015,"American Indian or Alaska Native","Suppressed",1523
"Massachusetts",2015,"Asian or Pacific Islander","58",17345
"Massachusetts",2015,"Black or African American","440",25260
"Massachusetts",2015,"White","1656",182905
"Michigan",2007,"American Indian or Alaska Native","99",3895
"Michigan",2007,"Asian or Pacific Islander","107",9181
"Michigan",2007,"Black or African American","4567",71766
"Michigan",2007,"White","7909",288447
"Michigan",2008,"American Indian or Alaska Native","120",3863
"Michigan",2008,"Asian or Pacific Islander","85",9253
"Michigan",2008,"Black or African American","4761",72997
"Michigan",2008,"White","7163",284628
"Michigan",2009,"American Indian or Alaska Native","128",3962
"Michigan",2009,"Asian or Pacific Islander","70",9465
"Michigan",2009,"Black or African American","4681",73032
"Michigan",2009,"White","6961",280035
"Michigan",2010,"American Indian or Alaska Native","125",3967
"Michigan",2010,"Asian or Pacific Islander","63",9594
"Michigan",2010,"Black or African American","4416",71383
"Michigan",2010,"White","6343",275178
"Michigan",2011,"American Indian or Alaska Native","106",3949
"Michigan",2011,"Asian or Pacific Islander","59",9775
"Michigan",2011,"Black or African American","3760",67022
"Michigan",2011,"White","5827",266928
"Michigan",2012,"American Indian or Alaska Native","104",3922
"Michigan",2012,"Asian or Pacific Islander","60",9956
"Michigan",2012,"Black or African American","3540",63862
"Michigan",2012,"White","5316",261292
"Michigan",2013,"American Indian or Alaska Native","104",3886
"Michigan",2013,"Asian or Pacific Islander","66",10490
"Michigan",2013,"Black or African American","2980",61209
"Michigan",2013,"White","4799",258543
"Michigan",2014,"American Indian or Alaska Native","82",3807
"Michigan",2014,"Asian or Pacific Islander","57",11609
"Michigan",2014,"Black or African American","2534",59272
"Michigan",2014,"White","4363",255453
"Michigan",2015,"American Indian or Alaska Native","86",3756
"Michigan",2015,"Asian or Pacific Islander","54",12404
"Michigan",2015,"Black or African American","2324",58657
"Michigan",2015,"White","3951",252818
"Minnesota",2007,"American Indian or Alaska Native","394",3812
"Minnesota",2007,"Asian or Pacific Islander","434",9994
"Minnesota",2007,"Black or African American","985",13507
"Minnesota",2007,"White","3446",158675
"Minnesota",2008,"American Indian or Alaska Native","353",3740
"Minnesota",2008,"Asian or Pacific Islander","432",10216
"Minnesota",2008,"Black or African American","922",14055
"Minnesota",2008,"White","3244",156557
"Minnesota",2009,"American Indian or Alaska Native","341",3691
"Minnesota",2009,"Asian or Pacific Islander","403",10338
"Minnesota",2009,"Black or African American","835",14211
"Minnesota",2009,"White","2842",153479
"Minnesota",2010,"American Indian or Alaska Native","275",3638
"Minnesota",2010,"Asian or Pacific Islander","360",10485
"Minnesota",2010,"Black or African American","746",14270
"Minnesota",2010,"White","2700",150842
"Minnesota",2011,"American Indian or Alaska Native","267",3590
"Minnesota",2011,"Asian or Pacific Islander","313",10216
"Minnesota",2011,"Black or African American","605",14232
"Minnesota",2011,"White","2321",151339
"Minnesota",2012,"American Indian or Alaska Native","230",3511
"Minnesota",2012,"Asian or Pacific Islander","290",10258
"Minnesota",2012,"Black or African American","598",14703
"Minnesota",2012,"White","2220",149225
"Minnesota",2013,"American Indian or Alaska Native","184",3541
"Minnesota",2013,"Asian or Pacific Islander","262",10440
"Minnesota",2013,"Black or African American","567",14963
"Minnesota",2013,"White","1968",146839
"Minnesota",2014,"American Indian or Alaska Native","160",3545
"Minnesota",2014,"Asian or Pacific Islander","221",10691
"Minnesota",2014,"Black or African American","536",15273
"Minnesota",2014,"White","1815",145417
"Minnesota",2015,"American Indian or Alaska Native","157",3561
"Minnesota",2015,"Asian or Pacific Islander","210",11160
"Minnesota",2015,"Black or African American","442",15286
"Minnesota",2015,"White","1599",144404
"Mississippi",2007,"American Indian or Alaska Native","78",751
"Mississippi",2007,"Asian or Pacific Islander","19",1026
"Mississippi",2007,"Black or African American","4551",51553
"Mississippi",2007,"White","3318",58164
"Mississippi",2008,"American Indian or Alaska Native","55",746
"Mississippi",2008,"Asian or Pacific Islander","18",1044
"Mississippi",2008,"Black or African American","4116",52051
"Mississippi",2008,"White","3136",58611
"Mississippi",2009,"American Indian or Alaska Native","75",771
"Mississippi",2009,"Asian or Pacific Islander","23",1028
"Mississippi",2009,"Black or African American","4058",51893
"Mississippi",2009,"White","2930",57996
"Mississippi",2010,"American Indian or Alaska Native","47",722
"Mississippi",2010,"Asian or Pacific Islander","13",1042
"Mississippi",2010,"Black or African American","3542",51260
"Mississippi",2010,"White","2586",57450
"Mississippi",2011,"American Indian or Alaska Native","48",707
"Mississippi",2011,"Asian or Pacific Islander","Suppressed",1058
"Mississippi",2011,"Black or African American","3100",49640
"Mississippi",2011,"White","2306",55417
"Mississippi",2012,"American Indian or Alaska Native","37",693
"Mississippi",2012,"Asian or Pacific Islander","Suppressed",1033
"Mississippi",2012,"Black or African American","2663",47943
"Mississippi",2012,"White","2166",54124
"Mississippi",2013,"American Indian or Alaska Native","52",718
"Mississippi",2013,"Asian or Pacific Islander","11",1096
"Mississippi",2013,"Black or African American","2478",46485
"Mississippi",2013,"White","1880",53667
"Mississippi",2014,"American Indian or Alaska Native","41",700
"Mississippi",2014,"Asian or Pacific Islander","13",1136
"Mississippi",2014,"Black or African American","2151",45842
"Mississippi",2014,"White","1720",53800
"Mississippi",2015,"American Indian or Alaska Native","36",722
"Mississippi",2015,"Asian or Pacific Islander","Suppressed",1184
"Mississippi",2015,"Black or African American","1998",45902
"Mississippi",2015,"White","1568",53797
"Missouri",2007,"American Indian or Alaska Native","78",1554
"Missouri",2007,"Asian or Pacific Islander","54",3633
"Missouri",2007,"Black or African American","2479",33779
"Missouri",2007,"White","6740",170975
"Missouri",2008,"American Indian or Alaska Native","61",1598
"Missouri",2008,"Asian or Pacific Islander","72",3796
"Missouri",2008,"Black or African American","2446",34253
"Missouri",2008,"White","6673",170844
"Missouri",2009,"American Indian or Alaska Native","63",1654
"Missouri",2009,"Asian or Pacific Islander","62",3919
"Missouri",2009,"Black or African American","2311",34803
"Missouri",2009,"White","6137",169102
"Missouri",2010,"American Indian or Alaska Native","61",1640
"Missouri",2010,"Asian or Pacific Islander","52",4124
"Missouri",2010,"Black or African American","2128",34255
"Missouri",2010,"White","5503",166828
"Missouri",2011,"American Indian or Alaska Native","46",1683
"Missouri",2011,"Asian or Pacific Islander","44",4208
"Missouri",2011,"Black or African American","1877",32790
"Missouri",2011,"White","5038",162855
"Missouri",2012,"American Indian or Alaska Native","42",1621
"Missouri",2012,"Asian or Pacific Islander","44",4382
"Missouri",2012,"Black or African American","1612",31347
"Missouri",2012,"White","4688",158895
"Missouri",2013,"American Indian or Alaska Native","58",1573
"Missouri",2013,"Asian or Pacific Islander","55",4557
"Missouri",2013,"Black or African American","1434",30273
"Missouri",2013,"White","4310",157295
"Missouri",2014,"American Indian or Alaska Native","46",1580
"Missouri",2014,"Asian or Pacific Islander","54",4847
"Missouri",2014,"Black or African American","1263",29511
"Missouri",2014,"White","3920",156354
"Missouri",2015,"American Indian or Alaska Native","32",1626
"Missouri",2015,"Asian or Pacific Islander","52",4921
"Missouri",2015,"Black or African American","1135",29507
"Missouri",2015,"White","3662",157092
"Montana",2007,"American Indian or Alaska Native","332",3384
"Montana",2007,"Asian or Pacific Islander","12",368
"Montana",2007,"Black or African American","11",309
"Montana",2007,"White","852",29976
"Montana",2008,"American Indian or Alaska Native","345",3366
"Montana",2008,"Asian or Pacific Islander","19",361
"Montana",2008,"Black or African American","15",298
"Montana",2008,"White","942",29673
"Montana",2009,"American Indian or Alaska Native","368",3290
